run,baseline_elim,baseline_notelim,pressure_elim,pressure_notelim
4117,8571520,25070138,10735233,22908020
4118,8571494,25070125,10740231,22903119
4119,8571711,25070063,10752842,22890745
4120,8571620,25070070,10781135,22861877
4121,8571422,25070109,10754871,22888948
4122,8571715,25069868,10732055,22911491
4123,8571367,25070009,10744658,22898485
4124,8571586,25070042,10749815,22893402
4125,8571509,25070249,10811064,22832241
4126,8571569,25070130,10760281,22882960
4127,8571320,25070116,10765141,22878140
4128,8571567,25070154,10745943,22897113
4129,8570944,25070141,10781463,22861472
4130,8571349,25070062,10792349,22850785
4131,8571565,25070053,10795755,22847469
4132,8571316,25070160,10738520,22905060
4133,8571220,25070176,10795046,22848403
4134,8571252,25070087,10795839,22847768
4135,8571788,25070013,10806892,22836355
4136,8571329,25070152,10729237,22913953
4137,8571590,25070105,10762219,22880915
4138,8571362,25070130,10708329,22934724
4139,8571479,25070093,10720571,22922290
4140,8571596,25070103,10778452,22864428
4141,8571770,25069964,10781213,22862244
4142,8571728,25069994,10788721,22854658
4143,8571591,25070094,10772484,22870700
4144,8571326,25069943,10780434,22862861
4145,8571324,25070132,10794389,22848933
4146,8571387,25070203,10763767,22879934
4147,8571685,25070195,10718225,22924553
4148,8571648,25070098,10801195,22841778
4149,8571445,25070209,10737886,22905573
4150,8571501,25069992,10800498,22842352
4151,8571334,25070114,10789878,22853198
4152,8571585,25070147,10731475,22912274
4153,8571553,25070137,10742530,22900626
4154,8571343,25069996,10750175,22892896
4155,8571793,25069999,10785148,22858147
4156,8571288,25070048,10766893,22876513
4157,8571793,25069948,10727015,22916401
4158,8571610,25070035,10787572,22855498
4159,8571757,25069938,10763808,22879139
4160,8571661,25069975,10800355,22842998
4161,8571563,25070166,10751256,22892063
4162,8571256,25070076,10750661,22892896
4163,8571902,25069973,10725504,22917941
4164,8571727,25070081,10788804,22854696
4165,8571594,25070032,10816857,22826151
4166,8571386,25070121,10800491,22843151
4167,8571481,25070056,10788915,22854234
4168,8571630,25070138,10797144,22845881
4169,8571360,25070031,10753109,22890007
4170,8571629,25069944,10798297,22845313
4171,8571395,25070200,10723936,22919647
4172,8571393,25070000,10783097,22860319
4173,8571180,25070084,10755041,22888345
4174,8571585,25070058,10768017,22875732
4175,8571613,25070213,10780890,22862726
4176,8571431,25070097,10795960,22847202
4177,8571571,25070096,10801766,22841765
4178,8571467,25069998,10755369,22887932
4179,8571410,25070199,10735006,22908009
4180,8571512,25069984,10733709,22909511
4181,8571777,25069977,10738374,22904964
4182,8571234,25070211,10798910,22844612
4183,8571456,25070081,10807316,22836077
4184,8571500,25070134,10748785,22894738
4185,8571415,25070131,10745323,22898046
4186,8571524,25070052,10763592,22880297
4187,8571295,25070100,10777326,22865640
4188,8572042,25070070,10777320,22866263
4189,8571863,25070003,10751374,22892306
4190,8571499,25070012,10760458,22882731
4191,8571600,25070021,10732287,22911310
4192,8571466,25070085,10781746,22861322
4193,8571595,25069901,10715414,22928672
