run,baseline_elim,baseline_notelim,pressure_elim,pressure_notelim
2055,8612849,25029404,9939498,23704197
2056,8571850,25069939,9998048,23645428
2057,8652403,24990934,9971435,23673031
2058,8571723,25070154,10002626,23641267
2059,8626619,25016177,9995129,23648413
2060,8571467,25070114,9943164,23700061
2061,8571542,25070226,10001205,23641871
2062,8571377,25070087,10007476,23636067
2063,8571628,25070018,9906949,23736464
2064,8571215,25070116,10007879,23635435
2065,8571999,25070060,9985205,23658574
2066,8571293,25070174,10003243,23640113
2067,8571707,25070274,9961260,23682731
2068,8577307,25065282,9961821,23681671
2069,8571639,25070133,9987950,23655919
2070,8571580,25070095,10004351,23639275
2071,8571362,25070302,10004844,23638788
2072,8571615,25069951,10026787,23616752
2073,8571648,25069884,9972878,23670440
2074,8571318,25070070,10009200,23634395
